,Roll Num,Marks
0,102003542,4
1,102003640,5
2,102003725,5
3,102003307,4
4,102003458,5
5,102003643,5
6,102017134,4
7,102003207,4
8,102003315,5
9,102003362,4
10,102003135,4
11,102003650,5
12,102003675,5
13,102003671,4
14,102003374,3
15,102017034,5
16,102003306,5
17,102003141,5
18,102003592,5
19,102003478,5
20,102017030,2
21,102016114,4
22,102003152,3
23,102017101,5
24,102003098,5
25,102003633,3
26,102003132,5
27,102066004,5
28,102003466,5
29,102017188,5
30,102003413,4
31,102016094,4
32,102017190,5
33,102017121,4
34,102003118,5
35,102003681,5
36,102183051,4
37,102017016,4
38,102003649,5
39,102003448,4
40,102003421,2
41,102017152,5
42,102053044,3
43,102003169,5
44,102016049,5
45,102017081,5
46,102053017,4
47,102003299,4
48,102017096,5
49,102003161,5
50,102003109,5
51,102003313,5
52,102003138,5
53,102017078,5
54,102003445,5
55,102003553,5
56,102017186,5
57,102003527,5
58,102003407,5
59,102017100,5
60,102003674,4
61,102183047,5
62,102003160,5
63,102003049,5
64,102003701,4
65,102017159,4
66,102067010,5
67,102003112,5
68,102003522,5
69,102017067,5
70,102003069,4
71,102053019,2
72,102016060,5
73,102003384,3
74,102017169,5
75,102017043,4
76,102017133,4
77,102183052,5
78,102003732,5
79,102003562,4
80,102003235,5
81,102003290,4
82,102003746,5
83,102003694,5
84,102003586,5
85,102003710,5
86,102003439,5
87,102016116,5
88,102003127,5
89,102017084,5
90,102067004,5
91,102016011,5
92,102017005,4
93,102016099,4
94,102053036,5
95,102003441,3
96,102003106,5
97,102003129,5
98,102003346,4
99,102003647,5
100,102003274,4
101,102003090,2
102,102183044,5
103,102003711,5
104,102003624,5
105,102003656,3
106,102017029,5
107,102016082,3
108,102003238,5
109,102003002,5
110,102003614,5
111,102003459,5
112,102003099,5
113,102003760,3
114,102017036,5
115,102003312,5
116,102017143,5
117,102016102,5
118,102067009,5
119,102003505,5
120,102003206,5
121,102003409,4
122,102003738,4
123,102017040,5
124,102003440,5
125,102003688,5
126,102017122,5
127,102017064,5
128,102067007,5
129,102003041,2
130,102017147,5
131,102003356,4
132,102003166,5
133,102017074,4
134,102003707,5
135,102003228,5
136,102003366,4
137,102003165,3
138,102003423,4
139,102053018,2
140,102053032,4
141,102003631,5
142,102003475,5
143,102003663,3
144,102003716,5
145,102017025,5
146,102003333,5
147,102017191,5
148,102003364,4
149,102003101,4
150,102017132,4
151,102017059,5
152,102003405,3
153,102003702,4
154,102003257,5
155,102003472,5
156,102003113,5
157,102053028,5
158,102003628,5
159,102183056,4
160,102003451,5
161,102003578,5
162,102053013,1
163,102003334,5
164,102053012,3
165,102017024,5
166,102003463,4
167,102017045,5
168,102017189,5
169,102003482,5
170,102003178,5
171,102003355,5
172,102017054,5
173,102003393,4
174,102003658,4
175,102003116,5
176,102017195,2
177,102003162,4
178,102003697,5
179,102003256,4
180,102003001,3
181,102016081,5
182,102003137,5
183,102017148,5
184,102003487,5
185,102017139,3
186,102003029,5
187,102003432,3
188,102003177,5
189,102003646,5
190,102003619,4
191,102003171,5
192,102016087,5
193,102016062,5
194,102053022,4
195,102053024,5
196,102003499,4
